feature,score
merchant_mean_distance,118
discount_rate,117
discount_man,103
total_sales,81
merchant_coupon_transfer_rate,65
user_merchant_buy_total,61
discount_jian,56
user_merchant_rate,53
this_month_user_receive_same_coupon_lastone,48
days_distance,44
total_coupon,41
sales_use_coupon,34
user_merchant_coupon_transfer_rate,32
this_month_user_receive_same_coupon_count,29
user_merchant_coupon_buy_rate,23
this_month_user_receive_same_coupon_firstone,20
user_merchant_received,19
buy_use_coupon,18
day_of_month,18
this_month_user_receive_all_coupon_count,13
distance,11
max_user_date_datereceived_gap,10
user_coupon_transfer_rate,7
this_day_user_receive_same_coupon_count,7
user_merchant_any,7
user_merchant_buy_use_coupon,6
min_user_date_datereceived_gap,5
avg_user_date_datereceived_gap,4
buy_total,4
merchant_median_distance,3
is_man_jian,3
user_merchant_common_buy_rate,3
user_max_distance,2
this_day_user_receive_all_coupon_count,2
coupon_received,2
is_weekend,1
weekday2,1
count_merchant,1
merchant_min_distance,1
